,annotation_count,api_path,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,primary_artist,pyongs_count,song_art_image_thumbnail_url,stats,title,title_with_featured,url,Lyrics
0,9.0,/songs/2836333,Shelter by Porter Robinson & Madeon,https://images.genius.com/024c26eb7e8fc29793590c2598e80fec.300x169x1.png,https://images.genius.com/024c26eb7e8fc29793590c2598e80fec.1000x563x1.png,2836333.0,4935648.0,complete,/Porter-robinson-and-madeon-shelter-lyrics,"{'api_path': '/artists/988951', 'header_image_url': 'https://images.genius.com/2bf30b131b55b3e0f88b19c006d90a9f.1000x667x1.jpg', 'id': 988951, 'image_url': 'https://images.genius.com/1ae867278fad8d57085c5debc6bafb82.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Porter Robinson & Madeon', 'url': 'https://genius.com/artists/Porter-robinson-and-madeon'}",54.0,https://images.genius.com/22df077743090995a5f92e4597de5963.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0, 'pageviews': 406727}",Shelter,Shelter,https://genius.com/Porter-robinson-and-madeon-shelter-lyrics,"[Intro: Amy Millan]
Ayy, I will, ayy
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder

[Hook: Amy Millan]
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy
I wonder, I wonder, I wonder, I wonder

[Verse 1: Madeon]
I could never find the right way to tell you
Have you noticed I've been gone?
'Cause I left behind the home that you made me
But I will carry it along

[Chorus: Madeon]
And it's a long way forward, so trust in me
I'll give them shelter, like you've done for me
And I know I'm not alone, you'll be watching over us
Until you're gone

[Hook: Amy Millan]
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder

[Verse 2: Madeon]
When I'm older, I'll be silent beside you
I know words won't be enough
And they won't need to know our names or our faces
But they will carry on for us

[Chorus: Madeon]
And it's a long way forward, so trust in me
I'll give them shelter, like you've done for me
And I know I'm not alone, you'll be watching over us
Until you're gone

[Hook: Amy Millan]
Ayy, I will, ayy
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder
Ayy, I will, ayy
Ayy, I will, ahh, hum huh
Ayy, I will, ayy
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's-
I wonder, I wonder, I wonder, I wonder
Ayy, I will, ayy, it's-
Ayy, I will, ahh, hum huh
Ayy, I will, ayy, it's
I wonder, I wonder, I wonder

[Outro: Madeon]
Oh it's a long way forward, trust in me
I'll give them shelter, like you've done for me
And I know I'm not alone, you'll be watching over us
Until..."
1,1.0,/songs/3307674,Shelter (Demo) by Porter Robinson & Madeon,https://images.genius.com/475c83a15f474ea9ea836e3919d70b43.300x236x1.jpg,https://images.genius.com/475c83a15f474ea9ea836e3919d70b43.736x579x1.jpg,3307674.0,5435764.0,complete,/Porter-robinson-and-madeon-shelter-demo-annotated,"{'api_path': '/artists/988951', 'header_image_url': 'https://images.genius.com/2bf30b131b55b3e0f88b19c006d90a9f.1000x667x1.jpg', 'id': 988951, 'image_url': 'https://images.genius.com/1ae867278fad8d57085c5debc6bafb82.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Porter Robinson & Madeon', 'url': 'https://genius.com/artists/Porter-robinson-and-madeon'}",,https://images.genius.com/475c83a15f474ea9ea836e3919d70b43.300x236x1.jpg,"{'hot': False, 'unreviewed_annotations': 1}",Shelter (Demo),Shelter (Demo),https://genius.com/Porter-robinson-and-madeon-shelter-demo-annotated,"[Intstrumentals: Vocal Chops]

[Chorus: Madeon]
Let out the past
Pretend that your time has come
Again
Goodbye, a world you made to restart to miss
Her in

[Hook: Madeon]
Oh, it's a long way forward
Long way down
Helpless shelter on the open ground
And she knows
Believes, her love can make you better
Let's pretend it doesn't matter

[Intstrumentals: Vocal Chops]

[Chorus: Madeon]
Let out the past
Pretend that your time has come
Again
Goodbye, a world you made to restart to miss
Her in

[Hook: Madeon]
Oh, it's a long way forward
Long way down
Helpless shelter on the open ground
And she knows
Believes, her love can make you better
Let's pretend it doesn't matter

[Instrumentals: Vocal Chops]

[Hook: Madeon]
Oh, it's a long way forward
Long way down
Helpless shelter on the open ground
And she knows
Believes, her love can make you better"
2,32.0,/songs/4061600,Paige's Playlist (November 2018) by This Autumn Eve,https://images.genius.com/ee1e894ce9458241ea0801b4c493a81b.300x169x1.jpg,https://images.genius.com/ee1e894ce9458241ea0801b4c493a81b.1000x563x1.jpg,4061600.0,3365031.0,complete,/This-autumn-eve-paiges-playlist-november-2018-annotated,"{'api_path': '/artists/1328854', 'header_image_url': 'https://images.genius.com/bcf58f997fa9f7cabfb6ce32b9224d2d.575x323x1.jpg', 'id': 1328854, 'image_url': 'https://images.genius.com/663f02f7a21550283d87aae21e0af296.500x294x20.gif', 'is_meme_verified': False, 'is_verified': False, 'name': 'This Autumn Eve', 'url': 'https://genius.com/artists/This-autumn-eve', 'iq': 153995}",,https://images.genius.com/acd3b1ae6ccf2f69d1c10008541b8d31.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",Paige's Playlist (November 2018),Paige's Playlist (November 2018),https://genius.com/This-autumn-eve-paiges-playlist-november-2018-annotated,"November 1st: ""Mr. FEAR"" by SIAMÉS
November 2nd: ""Undertale"" by Toby Fox
November 3rd: ""Shop Windows and Amber Reflections"" by City Girl
November 4th: ""Do I Wanna Know?"" by Arctic Monkeys
November 5th: ""Love Like You (End Credits)"" by Rebecca Sugar
November 6th: ""I'm Still Here (Jim's Theme)"" by John Rzeznik
November 7th: ""The Road of Trials"" by Austin Wintory
November 8th: ""Boyish"" by Hippo Campus
November 9th: ""Time"" by Pink Floyd
November 10th: ""Sloom"" by Of Monsters and Men
November 11th: ""No Good"" by Kaleo
November 12th: ""The Chain"" by Fleetwood Mac
November 13th: ""We Didn't Start the Fire"" by Billy Joel
November 14th: ""I Must Cry Out Loud"" by Mother Mother
November 15th: ""Mistakes"" by Hippo Campus
November 16th: ""Source"" by Fever the Ghost
November 17th: ""Blindsided"" by Bon Iver
November 18th: ""Shelter"" by Porter Robinson and Madeon
November 19th: ""Bending Light"" by Beacon
November 20th: ""Conception"" by Black Thought & Reek Ruffin
November 21st: ""Blacklight"" by Inner Wave
November 22nd: ""Mr. Fear (MMP Remix)"" by SIAMÉS
November 23rd: ""Fly Octo Fly ~ Ebb & Flow"" by Qumu
November 24th: ""The Less I Know the Better"" by Tame Impala
November 25th: ""El Tango de Roxanne"" by José Feliciano, Ewan McGregor, & Jacek Koman
November 26th: ""Everybody Loves You"" by APRE
November 27th: ""In My Head"" by Bedroom
November 28th: ""Sweet Victory"" by David Glen Eisley
November 29th: ""Somebody to Love"" by Queen
November 30th: ""Noah's Ark"" by Young Heretics
A Reflection of November 2018's Playlist"
3,0.0,/songs/3136541,Shelter (Piano Version) by Porter Robinson & Madeon,https://images.genius.com/1b13ad7d012dbb30470e904c84bd259c.300x300x1.jpg,https://images.genius.com/1b13ad7d012dbb30470e904c84bd259c.1000x1000x1.jpg,3136541.0,4680248.0,complete,/Porter-robinson-and-madeon-shelter-piano-version-lyrics,"{'api_path': '/artists/988951', 'header_image_url': 'https://images.genius.com/2bf30b131b55b3e0f88b19c006d90a9f.1000x667x1.jpg', 'id': 988951, 'image_url': 'https://images.genius.com/1ae867278fad8d57085c5debc6bafb82.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Porter Robinson & Madeon', 'url': 'https://genius.com/artists/Porter-robinson-and-madeon'}",2,https://images.genius.com/1b13ad7d012dbb30470e904c84bd259c.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",Shelter (Piano Version),Shelter (Piano Version),https://genius.com/Porter-robinson-and-madeon-shelter-piano-version-lyrics,"INSTRUMENTAL

Demo Version
[Verse 1]
Layout the past, pretend that your time has come again
Give back the world you made to restart, to miss her in

[Chorus]
Oh its a long way forward, long way down
Helpless shelter in the open ground
And she knows, believes her love can make you better
Let us pretend it doesn't matter

[Verse 2]
Lay out the past, pretend that your time has come again
Give back the world you made to restart, to miss her in

[Chorus]
Oh its a long way forward, long way down
Helpless shelter in the open ground
And she knows, believes her love can make you better
Let us pretend it doesn't matter"
4,0.0,/songs/3660619,Porter Robinson & Madeon - Shelter (Tradução) by Genius Brasil Traduções,https://images.genius.com/aed43087e3fa361ffa923c7a06f0ae92.231x231x1.jpg,https://images.genius.com/aed43087e3fa361ffa923c7a06f0ae92.231x231x1.jpg,3660619.0,1462612.0,complete,/Genius-brasil-traducoes-porter-robinson-and-madeon-shelter-traducao-lyrics,"{'api_path': '/artists/210448', 'header_image_url': 'https://images.genius.com/887be16f52b0dec817adc23304662df0.900x176x1.jpg', 'id': 210448, 'image_url': 'https://images.genius.com/3a0be3346223ddde1f4b5c1d315cb9db.750x750x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Brasil Traduções', 'url': 'https://genius.com/artists/Genius-brasil-traducoes'}",1,https://images.genius.com/aed43087e3fa361ffa923c7a06f0ae92.231x231x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",Porter Robinson & Madeon - Shelter (Tradução),Porter Robinson & Madeon - Shelter (Tradução),https://genius.com/Genius-brasil-traducoes-porter-robinson-and-madeon-shelter-traducao-lyrics,"[Letra de ""Shelter (Tradução)"" por Genius Brasil Traduções, Porter Robinson & Madeon]

[Intro]
Aí, eu vou, aí
Aí, eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero
Aí, eu vou, aí
Aí, eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero

[Refrão]
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero

[Verso 1]
Eu nunca pude encontrar o jeito certo para te dizer
Você já percebeu que eu estive por fora?
Porque eu deixei para trás a casa que você me fez
Mas eu vou levá-la junto

[Pre-Chorus]
É um longo caminho a seguir, então acredite em mim
Vou dar-lhes abrigo como você fez por mim
E eu sei, eu não estou sozinha, você estará cuidando de nós
Até que você se vá

[Refrão]
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero

[Verso 2]
Quando eu estiver mais velha, eu vou ficar em silêncio ao seu lado
Eu sei que palavras não serão suficientes
E eles não precisarão saber os nomes ou nossos rostos
Mas eles vão continuar para nós

[Pre-Chorus]
É um longo caminho a seguir, então acredite em mim
Vou dar-lhes abrigo como você fez por mim
E eu sei, eu não estou sozinha, você estará cuidando de nós
Até que você se vá

[Ponte]
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero

[Refrão]
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero
Aí, eu vou, aí
Aí eu vou, ah
Aí, eu vou, aí
Eu pondero, eu pondero, eu pondero, eu pondero

[Outro]
É um longo caminho a seguir, então acredite em mim
Vou dar-lhes abrigo como você fez para mim
E eu sei, eu não estou sozinha, você estará cuidando de nós
Até que..."
5,0.0,/songs/3136550,Shelter (Mat Zo Remix) by Porter Robinson & Madeon,https://images.genius.com/ea56a8db82be160b157fdc3ba5f5cf4d.300x300x1.jpg,https://images.genius.com/ea56a8db82be160b157fdc3ba5f5cf4d.500x500x1.jpg,3136550.0,1757421.0,complete,/Porter-robinson-and-madeon-shelter-mat-zo-remix-lyrics,"{'api_path': '/artists/988951', 'header_image_url': 'https://images.genius.com/2bf30b131b55b3e0f88b19c006d90a9f.1000x667x1.jpg', 'id': 988951, 'image_url': 'https://images.genius.com/1ae867278fad8d57085c5debc6bafb82.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Porter Robinson & Madeon', 'url': 'https://genius.com/artists/Porter-robinson-and-madeon'}",,https://images.genius.com/ea56a8db82be160b157fdc3ba5f5cf4d.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",Shelter (Mat Zo Remix),Shelter (Mat Zo Remix),https://genius.com/Porter-robinson-and-madeon-shelter-mat-zo-remix-lyrics,"I could never find the right way to tell you
Have you noticed I've been gone?
Cause I've left behind the home that you made me
But I will carry it along

And it's a long way forward, so trust in me
I'll give them shelter like you've done for me
And I know, I'm not alone, you'll be watching over us
Until you're gone

[Instrumental]

When I'm older, I'll be silent beside you
I know words won't be enough
And they won't need to know our names or our faces
But they will carry on for us

And it's a long way forward, so trust in me
I'll give them shelter like you've done for me
And I know, I'm not alone, you'll be watching over us
Until you're gone

[Instrumental]

I could never find the right way to tell you
Have you noticed I've been gone?
Cause I've left behind the home that you made me
But I will carry it along"
6,1.0,/songs/2836835,New Music Friday 08/12/16 by Spotify,https://images.genius.com/009d62946e0796534233cdd186bedadd.300x300x1.jpg,https://images.genius.com/009d62946e0796534233cdd186bedadd.300x300x1.jpg,2836835.0,93685.0,complete,/Spotify-new-music-friday-08-12-16-annotated,"{'api_path': '/artists/69342', 'header_image_url': 'https://images.genius.com/6e4f3fc4533e3f41728c5e80d8a2b1d6.400x400x1.jpg', 'id': 69342, 'image_url': 'https://images.genius.com/141d96cdaf6ed557155c18ed91af11e6.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Spotify', 'url': 'https://genius.com/artists/Spotify'}",1,https://images.genius.com/009d62946e0796534233cdd186bedadd.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",New Music Friday 08/12/16,New Music Friday 08/12/16,https://genius.com/Spotify-new-music-friday-08-12-16-annotated,"Songs with a ✅ contain verified annotations and/or lyrics!

Green Day - Bang Bang
99 Percent - Till Ya Legs Hurt
OneRepublic - Kids ✅
Young & Divine - Game Girl
Stanaj - Romantic
Terror Jr - Come First
A R I Z O N A - Cross My Mind
Rae Sremmurd - Set the Roof feat. Lil Jon
Grouplove - Do You Love Someone
Glades - Speechless
Tritonal & Jenaux - Broken feat. Adam Lambert
Britney Spears - Clumsy
Tory Lanez - Cold Hard Love
PARTNEXTDOOR - Don't Know How
Felix Snow - Lies feat. SZA
Lil Uzi Vert - Seven Million feat. Future
Dinosaur Pile-Up - Nothing Personal
Young the Giant - Repeat
Saint Motel - Move
Arkells - My Heart's Always Yours
Mr Sanka - Flight Mode
The Griswolds - Out of My Head
The Head and the Heart - Colors
Bjonr - Broken feat. Tom Bailey
Flume - Never Be Like You feat. Kai (Martin Solveig Remix) ✅
Colouring - About You
GTA & What So Not - Feel It feat. Tuna Ige
Porter Robinson & Madeon - Shelter
Gavin DeGraw - Making Love With the Radio On
Colbie Caillat - Never Got Away
Kacey Musgraves - Crazy (Live from Spotify House '16)
The Shadowboxes - Build the Beat
De La Soul - Drawn feat. Little Dragon
E-40 - Petty feat. Kamaiyah
Sevyn Streeter - Prolly feat. Gucci Mane
Michl - Broken Roots
Soundgarden - Spoonman (Steve Aoki Remix)
Big Gigantic - Got the Love feat. Jennifer Hartswick
Nick Grant - Get Up feat. WatchTheDuck
TOTEM - Somebody Else (Live from Spotify House SXSW '16)
CVBZ - Be Like You
Savoir Adore - Savages
SHAED - Thunder
Lukr - Scarecrow
EXES - Like You
Bishop Briggs - Pray (Empty Gun)
Biffy Clyro - Medicine (Live from Spotify Berlin)
Butch Walker - Wilder in the Heart
Florence + The Machine - Too Much Is Never Enough
The White Stripes - City Lights feat. Jack White
Kate Nash - Good Summer
Mike Taylor - Electric Church
5 Seconds of Summer - Girls Talk Boys (Stafford Brothers Remix)
Britney Spears - Make Me... feat. G-Eazy (Marc Stout & Tony Arzadon Remix)
Hey Violet - Pure
The Amity Affliction - All Fucked Up
Olivia O'Brien - Trust Issues ✅
Noella Nix - Bye Bye
Tyler Glenn - Shameless
Golden Suits - Gold Feeling"
7,1.0,/songs/2832933,Singles Release Calendar (August 8th-14th) by Genius,https://images.genius.com/163d41615afee435c676f5689f2a57ad.225x225x1.jpg,https://images.genius.com/163d41615afee435c676f5689f2a57ad.225x225x1.jpg,2832933.0,126836.0,complete,/Genius-singles-release-calendar-august-8th-14th-lyrics,"{'api_path': '/artists/204611', 'header_image_url': 'https://images.genius.com/887be16f52b0dec817adc23304662df0.900x176x1.jpg', 'id': 204611, 'image_url': 'https://images.genius.com/8ed669cadd956443e29c70361ec4f372.1000x1000x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Genius', 'url': 'https://genius.com/artists/Genius', 'iq': 69115}",,https://images.genius.com/163d41615afee435c676f5689f2a57ad.225x225x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",Singles Release Calendar (August 8th-14th),Singles Release Calendar (August 8th-14th),https://genius.com/Genius-singles-release-calendar-august-8th-14th-lyrics,"* = not officially released

August 8th
Jacquees, Birdman & Caskey - Money Up
Khalil - Just Might Kiss You
Kranium - We Can ft. Torey Lanez
Rae Sremmurd - Set the Roof ft. Lil Jon

August 9th
Fours - Painful to Watch
Kinder - Light
Otis English - Young Kids, Old Love

August 10th
Kate Lomas - Let's Just Be

August 11th
Glades - Speechless
Green Day - Bang Bang

August 12th
A R I Z O N A - Cross My Mind
Disciples - Daylight
Example - Later
Hannah Jane Lewis - Hide and Go Seek
Noella Nix - Bye Bye
Sam Bruno - Tip of My Tongue
Porter Robinson x Madeon - Shelter"
8,1.0,/songs/487999,BBC Radio 1 Playlist (4th August-10th August 2014) by BBC Radio,https://images.genius.com/96f425be7886dd0385d00da7a2a1062b.300x300x1.jpg,https://images.genius.com/96f425be7886dd0385d00da7a2a1062b.500x500x1.jpg,487999.0,26826.0,complete,/Bbc-radio-bbc-radio-1-playlist-4th-august-10th-august-2014-lyrics,"{'api_path': '/artists/211973', 'header_image_url': 'https://images.genius.com/96f425be7886dd0385d00da7a2a1062b.500x500x1.jpg', 'id': 211973, 'image_url': 'https://images.genius.com/96f425be7886dd0385d00da7a2a1062b.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'BBC Radio', 'url': 'https://genius.com/artists/Bbc-radio'}",1,https://images.genius.com/96f425be7886dd0385d00da7a2a1062b.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",BBC Radio 1 Playlist (4th August-10th August 2014),BBC Radio 1 Playlist (4th August-10th August 2014),https://genius.com/Bbc-radio-bbc-radio-1-playlist-4th-august-10th-august-2014-lyrics,"A List

∆ (Alt-J) - ""Hunger Of The Pine""
Charli XCX - ""Boom Clap""
Cheryl Cole - ""Crazy Stupid Love"" (featuring Tinie Tempah)
Clean Bandit - ""Come Over"" (featuring Stylo G)
David Guetta - ""Lovers on the Sun"" (featuring Sam Martin)
FKA twigs - ""Two Weeks""
Kasabian - ""Bumblebeee""
Lower Than Atlantis - ""Here We Go""
MAGIC! - ""Rude""
Nico & Vinz - ""Am I Wrong""
OneRepublic - ""Love Runs Out""
Rizzle Kicks - ""Tell Her""
Twin Atlantic - ""Brothers and Sisters""
Vic Mensa - ""Down on My Luck""
ZHU - ""Faded""

B List

Bombay Bicycle Club - ""Come To""
Duke Dumont - ""Won't Look Back""
Ed Sheeran - ""Don't""
Foxes - ""Glorious""
Hot Natured & Ali Love - ""Benediction""
Indiana - ""Heart on Fire""
Jack White - ""Would You Fight For My Love?""
Jake Bugg - ""There's A Beast And We All Feed It""
Jessie Ware - ""Tough Love""
Kiesza - ""Giant In My Heart""
Lana Del Rey - ""Ultraviolence""
Mallory Knox - ""Ghost In The Mirror""
Maroon 5 - ""Maps""
Melissa Steel - ""Kisses For Breakfast"" (featuring Popcaan)
Royal Blood - ""Figure It Out""

C List

Charlene Soraia - ""Caged""
Lilly Wood & Roin Schulz - ""Prayer In C (Robin Schulz Remix)""
Lonely The Brave - ""Backroads""
Oliver $ & Jimi Jules - ""Pushin' On""
Pharrell Williams - ""Come Get It Bae""
Saint Motel - ""My Type""
Saint Raymond - ""I Want You""
The 1975 - ""Heart Out""
The Script - ""Superheroes""
Wankelmut & Emma Louise - ""My Head Is A Jungle (MK Remix)""

In New Music We Trust List

Dr. Meaker - ""Right Back"" (featuring Sian Evans)
Eric Prydz - ""Liberate""
Porter Robinson - ""Lionhearted"" (featuring Urban Cone)
TCTS - ""Games"" (featuring K. Stewart)
Years & Years - ""Take Shelter""

BBC Introducing List

Call To Mind - A Family Sketch"
9,120.0,/songs/378890,AP English Literature and Composition Representative Authors by College Board,https://images.genius.com/68e862dbd165c493d8295d33bc4871fe.300x300x1.jpg,https://images.genius.com/68e862dbd165c493d8295d33bc4871fe.409x409x1.jpg,378890.0,331082.0,complete,/College-board-ap-english-literature-and-composition-representative-authors-annotated,"{'api_path': '/artists/147574', 'header_image_url': 'https://images.genius.com/1207243b1bd8a226b87307922b383e7f.1000x273x1.jpg', 'id': 147574, 'image_url': 'https://images.genius.com/68e862dbd165c493d8295d33bc4871fe.409x409x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'College Board', 'url': 'https://genius.com/artists/College-board'}",7,https://images.genius.com/68e862dbd165c493d8295d33bc4871fe.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 88}",AP English Literature and Composition Representative Authors,AP English Literature and Composition Representative Authors,https://genius.com/College-board-ap-english-literature-and-composition-representative-authors-annotated,"Representative AuthorsThere is no recommended or required reading list for the AP English
Literature and Composition course. The following authors are provided simply to suggest the range and quality of reading expected in the course. Teachers may select authors from the names below or may choose others of comparable quality and complexity.
PoetryW . H . Auden; Elizabeth Bishop; William Blake; Anne Bradstreet; Edward Kamau Brathwaite; Gwendolyn Brooks; Robert Browning; George Gordon, Lord Byron; Lorna Dee Cervantes; Geoffrey Chaucer; Lucille Clifton; Samuel Taylor Coleridge; Billy Collins; H . D . (Hilda Doolittle); Emily Dickinson; John Donne; Rita Dove; Paul Laurence Dunbar; T . S . Eliot; Robert Frost; Joy Harjo; Seamus Heaney; George Herbert; Garrett Hongo; Gerard Manley Hopkins; Langston Hughes; Ben Jonson; John Keats; Philip Larkin; Robert Lowell; Andrew Marvell; John Milton; Marianne Moore; Sylvia Plath; Edgar Allan Poe; Alexander Pope; Adrienne Rich; Anne Sexton; William Shakespeare; Percy Bysshe Shelley; Leslie Marmon Silko; Cathy Song; Wallace Stevens; Alfred, Lord Tennyson; Derek Walcott; Walt Whitman; Richard Wilbur; William Carlos Williams; William Wordsworth; William Butler Yeats
DramaAeschylus; Edward Albee; Amiri Baraka; Samuel Beckett; Anton Chekhov; Caryl Churchill; William Congreve; Athol Fugard; Lorraine Hansberry; Lillian Hellman; David Henry Hwang; Henrik Ibsen; Ben Jonson; David Mamet; Arthur Miller; Molière; Marsha Norman; Sean O’Casey; Eugene O’Neill; Suzan-Lori Parks; Harold Pinter; Luigi Pirandello; William Shakespeare; George Bernard Shaw; Sam Shepard; Sophocles; Tom Stoppard; Luis Valdez; Oscar Wilde; Tennessee Williams; August Wilson
Fiction (Novel and Short Story)Chinua Achebe; Sherman Alexie; Isabel Allende; Rudolfo Anaya; Margaret Atwood; Jane Austen; James Baldwin; Saul Bellow; Charlotte Brontë; Emily Brontë; Raymond Carver; Willa Cather; John Cheever; Kate Chopin; Sandra Cisneros; Joseph Conrad; Edwidge Danticat; Daniel Defoe; Anita Desai; Charles Dickens; Fyodor Dostoevsky; George Eliot; Ralph Ellison; Louise Erdrich; William Faulkner; Henry Fielding; F . Scott Fitzgerald; E . M . Forster; Thomas Hardy; Nathaniel Hawthorne; Ernest Hemingway; Zora Neale Hurston; Kazuo Ishiguro; Henry James; Ha Jin; Edward P . Jones; James Joyce; Maxine Hong Kingston; Joy Kogawa; Jhumpa Lahiri; Margaret Laurence; D . H . Lawrence; Chang-rae Lee; Bernard Malamud; Gabriel García Márquez; Cormac McCarthy; Ian McEwan; Herman Melville; Toni Morrison; Bharati Mukherjee; Vladimir Nabokov; Flannery O’Connor; Orhan Pamuk; Katherine Anne Porter; Marilynne Robinson; Jonathan Swift; Mark Twain; John Updike; Alice Walker; Evelyn Waugh; Eudora Welty; Edith Wharton; John Edgar Wideman; Virginia Woolf; Richard Wright
Expository ProseJoseph Addison; Gloria Anzaldúa; Matthew Arnold; James Baldwin; James Boswell; Jesús Colón; Joan Didion; Frederick Douglass; W . E . B . Du Bois; Ralph Waldo Emerson; William Hazlitt; bell hooks; Samuel Johnson; Charles Lamb; Thomas Macaulay; Mary McCarthy; John Stuart Mill; George Orwell; Michael Pollan; Richard Rodriguez; Edward Said; Lewis Thomas; Henry David Thoreau; E . B . White; Virginia Woolf"
